name_broker,zipcode_broker,description_broker,number_reviews_broker,number_houses_for_sale_offered,number_houses_sold_last_12_months
De Leeuw Makelaardij,2231 AG,"Door onze grote regionale kennis, persoonlijke aanpak en onze  succesvolle verkoopmethode, slaagt u altijd bij De Leeuw. Onze  makelaars staan u bij in het hele koop- of verkooptraject. Met  vestigingen in Leiden, Rijnsburg, Katwijk en Sassenheim heeft u een  uitgebreide keuze en een groot verkoopkanaal. Onze makelaars hebben  jarenlange ervaring en zijn altijd op de hoogte van de laatste  ontwikkelingen. De Leeuw zorgt ervoor dat u snel en succesvol tot  het juiste resultaat komt voor uw situatie. Dat is de waarde van  ervaring.",107,179,215
Broeckx makelaars,5707 AA,Wij maken werk van uw woonplezier!,408,125,282
Makelaardij Van der Linden Almere,1314 BN,Missing value,386,95,367
Hallie & Van Klooster Makelaardij,1052 HX,"Onze kantoren zijn gevestigd in Westerpark en op IJburg. Wij  zijn gespecialiseerd in aankoop, verkoop, verhuur, nieuwbouw en  taxaties van woningen in heel Amsterdam en omstreken. ",270,131,308
Makelaardij Van der Linden Amsterdam,1055 RW,Missing value,277,81,293
Ooms Veldhoen & Romeijn Makelaars,3262 JN,Missing value,94,166,208
Sopar Makelaars,1441 CN,"Ons kantoor is opgericht in 1975. Wij zijn een jong, energiek en  dynamisch team van mensen! Onze kantoorwinkel ligt aan de  Nieuwstraat 74 - 78 in het hart van Purmerend. Wij kennen ons  werkgebied, groot Waterland,  als geen ander!",307,128,232
Kuijs Reinder Kakes makelaar Zaandam,1506 GK,Kuijs Reinder Kakes is een Noord-Hollands makelaarskantoor dat  zich onderscheidt door een uitstekende kennis van zaken sinds  1922.,151,96,259
Hofzicht Makelaars,2182 EP,Missing value,104,226,178
Van Hassel Makelaars o.g.,4881 CS,"Kortom, het team van Van Hassel Makelaars neemt u graag het werk  uit handen en geeft u een professionele en  deskundige begeleiding tijdens het gehele verkooptraject en  zorgt voor het beste verkoopresultaat.",302,151,223
