zipcode;sellingPrice;Asking_Price_M2;Services;sales_agent;fulldescription;housetype;parcelsurface;yearofbuilding;description_garden;numberrooms;numberbathrooms;energylabelclass;surface;buying_agent;sellingDate;publicationDate;url;image_urls;images
1098NS;615000;None;None;SEM makelaars;"Generous and really bright triple 1930s upper house of 93 m2 (four rooms), located in the quiet and green Watergraafsmeer. This family apartment spread over two floors offers three bedrooms, a spacious and light living area and a luxury kitchen. Characteristics * unique family house * construction year 1933 * living area 93 m2 * 3 bedrooms * orientation south-west * abundance of natural light due to the presence of lots of windows * partial renovated in 2018, kitchenbathroom, floors and heating system * well maintained, maintenance plan * unobstructed view over child-friendly and leafy square * no wait list for parking permit, two permits allowed * delivery: in consultation. On excellent location on the corner of the beautiful green Voltaplein, this two floor family apartment. The popular residential area De Watergraafsmeer needs little explanation when it comes to the quality of living. Watergraafsmeer has a spacious layout combined with green spaces. Living area 93 m2 and an attic space. Efficient layout, two large bedrooms, one very spacious with beautiful corner location and an unobstructed view of the square. The apartment is partly renovated in 2018. Location: For daily shopping you can walk to the Oostpoort shopping center or go a little further to the Christiaan Huygensplein. In the nearby Park Frankendael or the Oosterpark the runners or green lovers can enjoy themselves. In Frankendael you will find the culinary ""Pure Markt"" every last Sunday of the month. Fitness, squash, tennis, hockey, football and swimming facilities are all within a vicinity, as well as the famous Jaap Edenbaan. There are various restaurants in the Watergraafsmeer. Enjoy the evening sun on one of the delightful terraces in the neighborhood or a culinary dinner. The immediate area offers plenty of entertainment venues and otherwise it is only 10 minutes by bike (or with tram line 19) to the city- center. Public transport such as trams, buses and the NS stations Science park, Muiderpoort and Amstel stations are within walking or cycling distance. Via the Middenweg you can reach the Ring A-10 in a few minutes. Layout: Ground floor; entrance, staircase. First floor: landing, toilet, living room, luxury kitchen, work-study bedroom. Second floor; landing, toilet, storage with washing machine connection, two spacious bedrooms, bathroom with sink, shower and bathtub.  Tenure: Leasehold : paid off till 15th april 2055, the 1994 conditions are applicable.  VIRTUAL TOURIN 3D? VIEW THE PROPERTY PRESENTATION ON OUR WEBSITE. The button [3D View] on our website gives access to a virtual tour in 3D. The tour shows how to walk from one room to the hall or into the bathroom. As if you are in the house and walk through it yourself. This project information has been compiled with the greatest care. However, no liability is accepted for any incompleteness, inaccuracy or otherwise, or the consequences thereof. All specified sizes and surfaces are indicative. The buyer has his own obligation to investigate all matters that are important to him or her. With regard to this property, the broker is the seller's advisor. The NVM conditions apply. ***This property is listed by a MVA Certified Expat Broker***";"Upstairs apartment (apartment)
";324 m³;1933;None;4;2;G;324;;2020-11-21;2020-10-27;<200 https://www.funda.nl/en/koop/verkocht/amsterdam/appartement-41152332-voltaplein-36/>;https://cloud.funda.nl/valentina_media/135/859/427_1440x960.jpg,https://cloud.funda.nl/valentina_media/135/859/437_1440x960.jpg,https://cloud.funda.nl/valentina_media/135/859/418_1440x960.jpg,https://cloud.funda.nl/valentina_media/135/859/415_1440x960.jpg,https://cloud.funda.nl/valentina_media/135/859/417_1440x960.jpg,https://cloud.funda.nl/valentina_media/135/859/419_1440.jpg,https://cloud.funda.nl/valentina_media/135/859/420_1440.jpg,https://cloud.funda.nl/valentina_media/135/859/421_1440.jpg,https://cloud.funda.nl/valentina_media/135/859/422_1440.jpg,https://cloud.funda.nl/valentina_media/135/859/423_1440.jpg,https://cloud.funda.nl/valentina_media/135/859/424_1440.jpg,https://cloud.funda.nl/valentina_media/135/859/425_1440.jpg,https://cloud.funda.nl/valentina_media/135/859/426_1440.jpg,https://cloud.funda.nl/valentina_media/135/859/436_1440.jpg,https://cloud.funda.nl/valentina_media/135/859/438_1440.jpg,https://cloud.funda.nl/valentina_media/135/859/439_1440.jpg,https://cloud.funda.nl/valentina_media/135/859/440_1440.jpg,https://cloud.funda.nl/valentina_media/135/859/442_1440.jpg,https://cloud.funda.nl/valentina_media/135/859/441_1440.jpg,https://cloud.funda.nl/valentina_media/135/859/443_1440.jpg,https://cloud.funda.nl/valentina_media/135/859/444_1440.jpg,https://cloud.funda.nl/valentina_media/135/859/445_1440.jpg,https://cloud.funda.nl/valentina_media/135/859/446_1440.jpg,https://cloud.funda.nl/valentina_media/135/859/447_1440.jpg,https://cloud.funda.nl/valentina_media/135/859/448_1440.jpg,https://cloud.funda.nl/valentina_media/135/859/449_1440.jpg,https://cloud.funda.nl/valentina_media/135/859/450_1440.jpg,https://cloud.funda.nl/valentina_media/135/859/451_1440.jpg,https://cloud.funda.nl/valentina_media/135/859/452_1440.jpg,https://cloud.funda.nl/valentina_media/135/859/453_1440.jpg,https://cloud.funda.nl/valentina_media/135/859/454_1440.jpg,https://cloud.funda.nl/valentina_media/135/859/455_1440.jpg;[{'url': 'https://cloud.funda.nl/valentina_media/135/859/427_1440x960.jpg', 'path': 'full/29902bee92c024c02e2f4f33805283383df3e3fd.jpg', 'checksum': '6e9d229156713880c6570a53b1a43403', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/859/437_1440x960.jpg', 'path': 'full/28ccd95ad4d13aa39e08836a0ba5c8e993a593b3.jpg', 'checksum': '07f6ab4da9b0e5340c46c7dfd1994c71', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/859/418_1440x960.jpg', 'path': 'full/5c9d6cc78690d3948a6082c74fed803624dcbc5f.jpg', 'checksum': 'b25fd3c8cf56e3d355c9bd114b1d2569', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/859/415_1440x960.jpg', 'path': 'full/9f94fbca15b515e4d33b4effef6bed7b3eeef2cb.jpg', 'checksum': '1c98ac4ee00862a999326eb1d08cd780', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/859/417_1440x960.jpg', 'path': 'full/6c08ee2dccaf9283bd56400cc8f7df9dc1693a92.jpg', 'checksum': 'd7df0851d3ba6f113944ab2cd2c6f65d', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/859/419_1440.jpg', 'path': 'full/c49d2f9d7543a516378c04861e8245e341bb1150.jpg', 'checksum': '9f995daa214a9326407105da22361bc9', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/859/420_1440.jpg', 'path': 'full/11ec6755ce4c328a0634ab38ce697207d1fba7bc.jpg', 'checksum': 'e08905b44b74557dabd24b92bee44827', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/859/421_1440.jpg', 'path': 'full/3bb98ec38d67bfdfc47400eab3c60f6e16af53ed.jpg', 'checksum': 'ddec03b2ad9b0fcfeb09ad58584be176', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/859/422_1440.jpg', 'path': 'full/b314fde0945c8df181de11be55bfe79f412eb836.jpg', 'checksum': '4918779d0d9779b96711d8c6b5f8eb2d', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/859/423_1440.jpg', 'path': 'full/2366e7903adf49bb07bbfb95be23edd171718be5.jpg', 'checksum': '855c0cecbd3334a96fb0ddda4777660d', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/859/424_1440.jpg', 'path': 'full/6224372162ca6f47ec17aaa87da9c10fab4643cd.jpg', 'checksum': '9fe1e6bad6af74afc302ab072669b808', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/859/425_1440.jpg', 'path': 'full/d0af6aaa9a05e7d4f4311831f3dcf27195a5f194.jpg', 'checksum': '211ac62a782a0abc48469161c3a320f1', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/859/426_1440.jpg', 'path': 'full/98b0d26eaa84e5563bc5ff146f5cfb60fb016830.jpg', 'checksum': 'b9836632cb29a3b4db4e0e52b5f7895c', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/859/436_1440.jpg', 'path': 'full/12c39fe383b45f8033c0589253c7c68dee1c491f.jpg', 'checksum': '3b5e0d8c0f7147912e5be3812136ff11', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/859/438_1440.jpg', 'path': 'full/ea49f9214a262db213aa7c49adb71e0135664451.jpg', 'checksum': '9e93b0c3bfa051853050eeffd0d8b042', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/859/439_1440.jpg', 'path': 'full/2dc46961ce5de585e217d7ef7b5ac325626105a2.jpg', 'checksum': '7b98d4acdf46cd72c2daed0821e218f9', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/859/440_1440.jpg', 'path': 'full/5417eb6226c66a97c19c8c5a618a1fb2e5d47d89.jpg', 'checksum': 'cc1058c6754651f8ea9fed0fadb34216', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/859/442_1440.jpg', 'path': 'full/58471b29cc86c61d674c5ffe2de9b445c5a46965.jpg', 'checksum': '9d6cbc12584cfd7593271376f1f9420c', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/859/441_1440.jpg', 'path': 'full/d61bbddd839edd83338650aa871772ab767344c5.jpg', 'checksum': '39367e2edab68b69da1158f28b263593', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/859/443_1440.jpg', 'path': 'full/25a16a0fd0a5695bbdd88eb12d3268ce163d1f36.jpg', 'checksum': '66b739690b156d27aeb06b1cff2f3e9a', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/859/444_1440.jpg', 'path': 'full/a8a366e61dda49dfab327b00caeafb93fad78c65.jpg', 'checksum': 'd4f56ce9c9ae4ba4fe8c899d2da6a7d6', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/859/445_1440.jpg', 'path': 'full/6ec7f12bf257394d2e8b9ef62864450440d055b4.jpg', 'checksum': 'a7001041709d6efee771b73ebe240b6f', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/859/446_1440.jpg', 'path': 'full/dad9ea5f1becc6d7e60de19272f13cc79943cb28.jpg', 'checksum': 'b42be75526907ed2bd887d8cf8a3f67b', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/859/447_1440.jpg', 'path': 'full/3b1326261e4cda2e87ed2d8ad175edcc39286d02.jpg', 'checksum': '618036a61433a59ccdf0e84862c85527', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/859/448_1440.jpg', 'path': 'full/69ffc72b5be8e462b458b7bb87acd238bf93b726.jpg', 'checksum': 'f4160d3515d1e19f7ce6dc47f7949e70', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/859/449_1440.jpg', 'path': 'full/b8a3f6d1805ad274c5b48b383055dbffaa914585.jpg', 'checksum': 'eee5f5c0a7413cbb8d19c77959c270fb', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/859/450_1440.jpg', 'path': 'full/18daacb89fabd4f98ce26e09b610000e5cc70e16.jpg', 'checksum': 'd7bce49397c623d80b97f3aec74aaf09', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/859/451_1440.jpg', 'path': 'full/01ae28949bf6744e4bf8e5a0341da133b8601b0a.jpg', 'checksum': 'bb32a7e4288716f954eb6a73d23a5494', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/859/452_1440.jpg', 'path': 'full/84a4e5e8215d487c8d85d8a8512cd2e695769cbb.jpg', 'checksum': 'e1a0b60ad1bd305a835c11328fcdd272', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/859/453_1440.jpg', 'path': 'full/81b53aa4d6393e1b52a21324cb1550b918a69975.jpg', 'checksum': 'fee140adde3424c6d994a0de5ab1ccb2', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/859/454_1440.jpg', 'path': 'full/b6cc7ca580201db1d571eddeb2c2cc367aa44d78.jpg', 'checksum': '2e338f2225ba54725dae4e1a54c62e50', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/859/455_1440.jpg', 'path': 'full/88b38636cdeba688e8a3bc4b556d20ce812b0d85.jpg', 'checksum': 'ac074a8e9b89f20f8754edfe61fbdba5', 'status': 'uptodate'}]
1072TE;465000;None;None;Cocq Makelaars;STARTERS OPGELET: FIJN INGEDEELD, RUIM EN LICHT TWEEKAMERAPPARTEMENT (ruim 60 m2) IN EEN RUSTIGE STRAAT IN DE PIJP, OP DE BEGANE GROND MET EN EEN GROTE TUIN OP HET ZUIDEN MET APARTE BERGING, GELEGEN OP EIGEN GROND!  Het appartement is gelegen ten zuiden van de Ceintuurbaan, tussen de Ferdinand Bolstraat en de Tweede Van der Helststraat in. Aan de achterzijde is het zeer licht door de diepe tuin (13.5 meter diep) en je hebt een fijne ruime living. Het appartement is in 2004 ontstaan door splitsing in appartementsrechten en is sindsdien zeer goed onderhouden. Alle ramen zijn voorzien van dubbel glas.  INDELING:  Entree op de begane grond via het gemeenschappelijke trappenhuis. Vanuit de hal meteen na de voordeur kun je alle ruimtes in het appartement bereiken. De ruime slaapkamer aan de voorzijde heeft meer dan genoeg ruimte voor een kingsize bed en een kledingkast. Verder heb je de badkamer met ligbad en toilet en naast de deur naar de woonkamer is nog een apart berghok met de meterkast en daarnaast is ook een ruimte met wasmachine/droger aansluiting te vinden. In de woonkamer tref je eerst rechts de open keuken die is voorzien van een 5-pits gasfornuis met oven en andere inbouwapparatuur, zoals een vaatwasser en een koelkast en aparte vriezer. Aan de achterzijde tref je de zit- en eethoek, die vanwege de vele ramen en gunstige ligging werkelijk baden in het licht. Hier ook, middels openslaande deuren, de toegang tot de tuin van bijna 60m2(!) op het zuiden, waar ook nog een aparte bergruimte (11m2) vinden is. Het gehele appartement is voorzien van een mooie houten vloer en alle ramen zijn voorzien van dubbel glas in houten kozijnen.  OMGEVING: De locatie is super: erg goed bereikbaar met zowel openbaar vervoer als met de auto, maar toch is het hier nog relatief rustig. Het Sarphatipark en kinderspeelplaatsen zijn vlakbij maar leuke horecazaken als Gs en Glou Glou zijn letterlijk aan het einde van de straat te vinden. De Albert Cuyp en meer dan genoeg winkels zijn makkelijk te bereiken. Voor de dagelijkse boodschappen hoef je dus nooit ver te zoeken. Tramlijnen 24 en 3 stoppen om de hoek en ook de Noord-Zuid lijn is vlakbij. In nog geen 10 minuten is met de fiets het Centraal Station en hartje Centrum te bereiken, maar ook stadsdelen Rivierenbuurt, Oud-Zuid en Oost liggen vlakbij. Binnen 10 minuten zit je met de auto op Ringweg A-10.  BIJZONDERHEDEN: - Ruim 60m2 (NEN 2580 meetrapport aanwezig) - Eigen grond! - Actieve en gezonde VVE - Meerjaren onderhoudsplan aanwezig - Servicekosten €60 per maand - Beschikbaar in overleg (kan zeer snel maar januari 2021 is geen probleem) - Ruime slaapkamer - Apart washok - Dubbel glas, goed geïsoleerd - Open en lichte indeling - Tuin op het zuiden van 60m2 - Voorbehoud gunning verkoper  Voor een bezichtiging kun je contact opnemen met Sjoerd Kok.  Deze informatie is door ons met de nodige zorgvuldigheid samengesteld. Onzerzijds wordt echter geen enkele aansprakelijkheid aanvaard voor enige onvolledigheid, onjuistheid of anderszins, dan wel de gevolgen daarvan. Alle opgegeven maten en oppervlakten zijn indicatief. Koper heeft zijn eigen onderzoeksplicht naar alle zaken die voor hem of haar van belang zijn. Met betrekking tot deze woning is de makelaar adviseur van verkoper. Wij adviseren je een deskundige (VBO-)makelaar in te schakelen die je begeleidt bij het aankoopproces. Indien je specifieke wensen hebt omtrent de woning, adviseren wij je deze tijdig kenbaar te maken aan jouw aankopend makelaar en hiernaar zelfstandig onderzoek te (laten) doen. Indien je geen deskundige vertegenwoordiger inschakelt, acht je jezelf volgens de wet deskundige genoeg om alle zaken die van belang zijn te kunnen overzien. Van toepassing zijn de VBO-voorwaarden.;"Ground-floor apartment (apartment)
";235 m³;1901;None;2;1;D;235;;2020-11-05;2020-10-22;<200 https://www.funda.nl/en/koop/verkocht/amsterdam/appartement-87512279-van-ostadestraat-142-h/>;https://cloud.funda.nl/valentina_media/135/688/395_1440x960.jpg,https://cloud.funda.nl/valentina_media/135/688/396_1440x960.jpg,https://cloud.funda.nl/valentina_media/135/688/397_1440x960.jpg,https://cloud.funda.nl/valentina_media/135/688/415_1440x960.jpg,https://cloud.funda.nl/valentina_media/135/688/416_1440x960.jpg,https://cloud.funda.nl/valentina_media/135/688/417_1440.jpg,https://cloud.funda.nl/valentina_media/135/688/418_1440.jpg,https://cloud.funda.nl/valentina_media/135/688/419_1440.jpg,https://cloud.funda.nl/valentina_media/135/688/420_1440.jpg,https://cloud.funda.nl/valentina_media/135/688/421_1440.jpg,https://cloud.funda.nl/valentina_media/135/688/422_1440.jpg,https://cloud.funda.nl/valentina_media/135/688/423_1440.jpg,https://cloud.funda.nl/valentina_media/135/688/424_1440.jpg,https://cloud.funda.nl/valentina_media/135/688/425_1440.jpg,https://cloud.funda.nl/valentina_media/135/688/426_1440.jpg,https://cloud.funda.nl/valentina_media/135/688/427_1440.jpg,https://cloud.funda.nl/valentina_media/135/688/428_1440.jpg,https://cloud.funda.nl/valentina_media/135/688/429_1440.jpg,https://cloud.funda.nl/valentina_media/135/688/430_1440.jpg,https://cloud.funda.nl/valentina_media/135/688/431_1440.jpg,https://cloud.funda.nl/valentina_media/135/688/450_1440.jpg,https://cloud.funda.nl/valentina_media/135/688/451_1440.jpg,https://cloud.funda.nl/valentina_media/135/688/452_1440.jpg,https://cloud.funda.nl/valentina_media/135/688/453_1440.jpg,https://cloud.funda.nl/valentina_media/135/688/455_1440.jpg,https://cloud.funda.nl/valentina_media/135/688/456_1440.jpg,https://cloud.funda.nl/valentina_media/135/688/457_1440.jpg,https://cloud.funda.nl/valentina_media/135/688/458_1440.jpg,https://cloud.funda.nl/valentina_media/135/688/459_1440.jpg,https://cloud.funda.nl/valentina_media/135/688/460_1440.jpg,https://cloud.funda.nl/valentina_media/135/688/461_1440.jpg,https://cloud.funda.nl/valentina_media/135/688/466_1440.jpg,https://cloud.funda.nl/valentina_media/135/688/462_1440.jpg,https://cloud.funda.nl/valentina_media/135/688/463_1440.jpg,https://cloud.funda.nl/valentina_media/135/688/464_1440.jpg;[{'url': 'https://cloud.funda.nl/valentina_media/135/688/395_1440x960.jpg', 'path': 'full/3039dcb02e95886b5de1fcfc4abd10b34419cb3b.jpg', 'checksum': '9d4610290c303a9b13d2e0479b48c7f7', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/688/396_1440x960.jpg', 'path': 'full/996d6d984fd6c719537e92d0c42354f85850e92c.jpg', 'checksum': 'eb6619929c3720a5b0eb8aa46775a856', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/688/397_1440x960.jpg', 'path': 'full/0ae57100a1a88805a793dceb82b9c4b801ca42cc.jpg', 'checksum': 'ba026c2c78033e137b8eb1ef9838dc1d', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/688/415_1440x960.jpg', 'path': 'full/ec304cbc19bdddeea8742dc8227a28f541ce217e.jpg', 'checksum': '7fe687e815573e4a7dc8e61363a9cd2f', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/688/416_1440x960.jpg', 'path': 'full/cb920c6ef7466a3de981c01a0dfafa93461e0757.jpg', 'checksum': 'f4d73fd8a6794e6bc26a7c4ac019ba20', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/688/417_1440.jpg', 'path': 'full/b7c5a1956b5618a04073f4e800fdf171fd5ac349.jpg', 'checksum': '8c5fdb876d918a4fae2321211e4b7e78', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/688/418_1440.jpg', 'path': 'full/6b8739a058ad3c323ecb0bcd1cc2cee2af3e8a5e.jpg', 'checksum': 'c62c82434dc4066bc17fb0e6a1324bbe', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/688/419_1440.jpg', 'path': 'full/fda3bacbd729b36b033966aebe331f8e13a81c5a.jpg', 'checksum': 'a35b9126ce0fbc06dae983fa6217a0d8', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/688/420_1440.jpg', 'path': 'full/0f900a3ac25e108b0435647e454b7cec9b2aa2f1.jpg', 'checksum': 'b2de907bd80c6679dd8437a430dc6711', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/688/421_1440.jpg', 'path': 'full/c96eb4e1f0e754ae5c3c0b9a465a8775e158951a.jpg', 'checksum': 'c51e7f36e2cd54c4d9adc447c8c28fc7', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/688/422_1440.jpg', 'path': 'full/7653626d957a3b0ab873942607bb6dc0b29c2860.jpg', 'checksum': '6c60e146bf06bc4ceb290ee400aa634c', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/688/423_1440.jpg', 'path': 'full/dc82c6836e192ebf88aa39e4e66fab113e68753e.jpg', 'checksum': 'a158dd2daa49df92c7ac7499330c7650', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/688/424_1440.jpg', 'path': 'full/d2f801a18b817a7e20d64bac33b378efec399b1e.jpg', 'checksum': '479baf8c790aff6a87ca1c325b6a3a05', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/688/425_1440.jpg', 'path': 'full/8976b5ce39a545ada2f54f6af28b19105112b37b.jpg', 'checksum': '171dc8b8088e1031cd0cd6d778dde769', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/688/426_1440.jpg', 'path': 'full/ce35ebc8c91ba0d63064f6412193925642324b36.jpg', 'checksum': '7f2a5d3be346264b5a65c9a52b1e8bab', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/688/427_1440.jpg', 'path': 'full/23bfe970b3a64f95a2a347c0474daae88513707a.jpg', 'checksum': '741298b9029dc9273399c57950e06ae6', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/688/428_1440.jpg', 'path': 'full/48c12167e365bd6861aa88f2af76a1821eab0abb.jpg', 'checksum': '3ccfea6b0a7b38679dfa38323b419a18', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/688/429_1440.jpg', 'path': 'full/87527eb737259741bc6b890c4fe86c42fb3d15f0.jpg', 'checksum': '6e097ff26832213c07faa35c75394468', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/688/430_1440.jpg', 'path': 'full/496b4b19ba8d9ce174c9ce97f98b90e8d839df8f.jpg', 'checksum': 'd5142fb5ebe64f22b65fc6ef0931d2b0', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/688/431_1440.jpg', 'path': 'full/4dda78c1e440bdde4b66b6a61326412456fb8b68.jpg', 'checksum': 'cb0cc5f9cfdf2145ba11dd1b898c73d7', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/688/450_1440.jpg', 'path': 'full/63b78cbf70fd60420856c0ecf8395f2fe6c8fe95.jpg', 'checksum': '00d98985dc69b5a546c729ad31d17eb3', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/688/451_1440.jpg', 'path': 'full/2af662b5229fa941caca33448e4dedd682ac30e5.jpg', 'checksum': 'f91892f0846fc1dd90690eb47464aff1', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/688/452_1440.jpg', 'path': 'full/5e36e310ad2cdcea786b7addbc80d865e59d1598.jpg', 'checksum': '789198fae97ddfb185aa23952811f407', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/688/453_1440.jpg', 'path': 'full/52d3eb8062e6422c999b4dc619d58c1eb513b1b6.jpg', 'checksum': '5aacae4d48fb576885c867de5d6e871e', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/688/455_1440.jpg', 'path': 'full/a2313329730745a9ed9be6f2994eb10c1d418bd8.jpg', 'checksum': 'e7117ae0071d652a42c9be408fcda763', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/688/456_1440.jpg', 'path': 'full/44980f3ddd9e976f0ace316d7c0b2fff5ba7869e.jpg', 'checksum': '4d8575e6ee856513bc10ef081db14b63', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/688/457_1440.jpg', 'path': 'full/6b9c2c24c31bf09bcf3fcd016d556e7076be8f01.jpg', 'checksum': '2ac45f98c5716554cf3a66a490eca8c9', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/688/458_1440.jpg', 'path': 'full/5b6e5de205bba239602155a02cb27effd6a0a1e8.jpg', 'checksum': '0fe154b5d0d42bc44407512bae9e4b33', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/688/459_1440.jpg', 'path': 'full/f8781687c5f277c14ee807d1485fbd7b54fb1b8d.jpg', 'checksum': 'c91ea2ee14c8eda7a24e215369097ce1', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/688/460_1440.jpg', 'path': 'full/6d176c08def55ca2c4fe50165b8f6002c5c89e43.jpg', 'checksum': '79517a5cae0acd11dd56394168d5f58d', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/688/461_1440.jpg', 'path': 'full/ec88488d48dc1da548df21b1cc2f3124b37904d4.jpg', 'checksum': '049f242cea4bb265843228a514734b32', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/688/466_1440.jpg', 'path': 'full/f0196fde995938699e7766e18c11ee1036e678d9.jpg', 'checksum': 'adc1ed7c00d1ed3fcdd433464e75c91d', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/688/462_1440.jpg', 'path': 'full/85df17c174ffa43792e186196ae2b9b48b0ce774.jpg', 'checksum': 'e6765cc821f9400605408303ba20f884', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/688/463_1440.jpg', 'path': 'full/dcb0de32cf5351c90cd4c05d61d2b05d09e75129.jpg', 'checksum': '89d965253cb3f22e29e1390db90e5a23', 'status': 'uptodate'}, {'url': 'https://cloud.funda.nl/valentina_media/135/688/464_1440.jpg', 'path': 'full/04de38b8b34b39c44716245a3a20b452454afd3b.jpg', 'checksum': '36eab7b32c70cf938a00944bd85eed35', 'status': 'uptodate'}]
