,house_id,image,objects,probabilities
2,441,6cdc79ab7bb51bb21f4873ede972ff5797269529.jpg,car,0.9986010193824768
3,441,6cdc79ab7bb51bb21f4873ede972ff5797269529.jpg,car,0.9967394471168518
0,442,e88d4445666473c80612f4fa0a6eff69ceb5377b.jpg,car,0.9958627223968506
1,442,e88d4445666473c80612f4fa0a6eff69ceb5377b.jpg,car,0.9932422041893005
2,442,e88d4445666473c80612f4fa0a6eff69ceb5377b.jpg,car,0.963610053062439
3,442,e88d4445666473c80612f4fa0a6eff69ceb5377b.jpg,car,0.8845506310462952
4,442,e88d4445666473c80612f4fa0a6eff69ceb5377b.jpg,car,0.8822565078735352
5,442,e88d4445666473c80612f4fa0a6eff69ceb5377b.jpg,car,0.8580796718597412
6,442,e88d4445666473c80612f4fa0a6eff69ceb5377b.jpg,car,0.754385769367218
7,442,e88d4445666473c80612f4fa0a6eff69ceb5377b.jpg,car,0.7507026195526123
8,442,e88d4445666473c80612f4fa0a6eff69ceb5377b.jpg,car,0.572557806968689
0,443,ffda1c2f6a776989b8b28bf8bd2aa8496613cbad.jpg,car,0.9513612389564514
1,443,ffda1c2f6a776989b8b28bf8bd2aa8496613cbad.jpg,car,0.92462557554245
0,444,d05b8a74a9a6631bd351f019f67f32d16d6e758b.jpg,car,0.903569757938385
0,445,b8421b2e8355a710d6fa414249db7bd3cf1ac955.jpg,car,0.9577270150184631
1,445,b8421b2e8355a710d6fa414249db7bd3cf1ac955.jpg,car,0.8792114853858948
2,445,b8421b2e8355a710d6fa414249db7bd3cf1ac955.jpg,car,0.872830331325531
3,445,b8421b2e8355a710d6fa414249db7bd3cf1ac955.jpg,car,0.8582212924957275
4,445,b8421b2e8355a710d6fa414249db7bd3cf1ac955.jpg,car,0.8425911664962769
0,446,165935f18a9a8c2e4898f4c908759119975a83ac.jpg,car,0.9913103580474854
1,446,165935f18a9a8c2e4898f4c908759119975a83ac.jpg,bicycle,0.8557800650596619
2,446,165935f18a9a8c2e4898f4c908759119975a83ac.jpg,bicycle,0.8277202248573303
0,447,d0cce0e2806026d32aab9a848337477839eaddde.jpg,car,0.987382173538208
1,447,d0cce0e2806026d32aab9a848337477839eaddde.jpg,bicycle,0.9864246249198914
2,447,d0cce0e2806026d32aab9a848337477839eaddde.jpg,bicycle,0.6640120148658752
0,448,f8d507145b11808d55004fd01274fce0fe04a42d.jpg,car,0.9971311092376709
1,448,f8d507145b11808d55004fd01274fce0fe04a42d.jpg,car,0.9481788277626038
2,448,f8d507145b11808d55004fd01274fce0fe04a42d.jpg,car,0.8630554676055908
3,448,f8d507145b11808d55004fd01274fce0fe04a42d.jpg,car,0.6254968643188477
4,448,f8d507145b11808d55004fd01274fce0fe04a42d.jpg,bicycle,0.6024129986763
5,448,f8d507145b11808d55004fd01274fce0fe04a42d.jpg,motorbike,0.5173987150192261
0,450,8766c85c2ceffe09e418f6633c3da09d924a217e.jpg,bicycle,0.6961938142776489
0,451,78a8826285d5624449b2c4f218bc328e70de1208.jpg,car,0.9545865654945374
0,452,fc7d4846bf78ccf8f8423422571e4ffe7ad5ce20.jpg,car,0.9994271397590637
0,454,6c7e24073ecf3ad772a5d706c7581dcf25f35517.jpg,car,0.9982414245605469
1,454,6c7e24073ecf3ad772a5d706c7581dcf25f35517.jpg,car,0.9934728145599365
2,454,6c7e24073ecf3ad772a5d706c7581dcf25f35517.jpg,car,0.9852007031440735
3,454,6c7e24073ecf3ad772a5d706c7581dcf25f35517.jpg,car,0.9795432686805725
4,454,6c7e24073ecf3ad772a5d706c7581dcf25f35517.jpg,car,0.9222884774208069
5,454,6c7e24073ecf3ad772a5d706c7581dcf25f35517.jpg,car,0.8755364418029785
