,house_id,image,objects,probabilities
2,513,5fe260a896c9461e02d9dc36e32c910b869d42c5.jpg,car,0.8005552291870117
3,513,5fe260a896c9461e02d9dc36e32c910b869d42c5.jpg,car,0.7377424836158752
0,514,43a432acb99992babb0221ea2e9fb0bd6e35d3dd.jpg,car,0.9940459132194519
1,514,43a432acb99992babb0221ea2e9fb0bd6e35d3dd.jpg,person,0.9838086366653442
2,514,43a432acb99992babb0221ea2e9fb0bd6e35d3dd.jpg,person,0.9631754159927368
3,514,43a432acb99992babb0221ea2e9fb0bd6e35d3dd.jpg,person,0.9515081644058228
4,514,43a432acb99992babb0221ea2e9fb0bd6e35d3dd.jpg,person,0.9137844443321228
5,514,43a432acb99992babb0221ea2e9fb0bd6e35d3dd.jpg,person,0.8589867949485779
6,514,43a432acb99992babb0221ea2e9fb0bd6e35d3dd.jpg,car,0.7193340063095093
7,514,43a432acb99992babb0221ea2e9fb0bd6e35d3dd.jpg,person,0.6996335387229919
8,514,43a432acb99992babb0221ea2e9fb0bd6e35d3dd.jpg,car,0.6723153591156006
0,515,17bc053021a4c0033873bd4383cd78156980f406.jpg,car,0.9940459132194519
1,515,17bc053021a4c0033873bd4383cd78156980f406.jpg,person,0.9838086366653442
2,515,17bc053021a4c0033873bd4383cd78156980f406.jpg,person,0.9631754159927368
3,515,17bc053021a4c0033873bd4383cd78156980f406.jpg,person,0.9515081644058228
4,515,17bc053021a4c0033873bd4383cd78156980f406.jpg,person,0.9137844443321228
5,515,17bc053021a4c0033873bd4383cd78156980f406.jpg,person,0.8589867949485779
6,515,17bc053021a4c0033873bd4383cd78156980f406.jpg,car,0.7193340063095093
7,515,17bc053021a4c0033873bd4383cd78156980f406.jpg,person,0.6996335387229919
8,515,17bc053021a4c0033873bd4383cd78156980f406.jpg,car,0.6723153591156006
0,516,d92239101bfeb6354812fb12ec6158af4295047a.jpg,car,0.9940459132194519
1,516,d92239101bfeb6354812fb12ec6158af4295047a.jpg,person,0.9838086366653442
2,516,d92239101bfeb6354812fb12ec6158af4295047a.jpg,person,0.9631754159927368
3,516,d92239101bfeb6354812fb12ec6158af4295047a.jpg,person,0.9515081644058228
4,516,d92239101bfeb6354812fb12ec6158af4295047a.jpg,person,0.9137844443321228
5,516,d92239101bfeb6354812fb12ec6158af4295047a.jpg,person,0.8589867949485779
6,516,d92239101bfeb6354812fb12ec6158af4295047a.jpg,car,0.7193340063095093
7,516,d92239101bfeb6354812fb12ec6158af4295047a.jpg,person,0.6996335387229919
