SalesAgent,ReviewType,Reviews,ReviewScore,ReviewDate
& Bijleveld makelaardij b.v.,Sale reviews,Angelique Bijleveld is een zeer deskundige en professionele makelaar die heel goed weet hoe je een huis moet verkopen. Haar tips voor de verkoop van het huis zijn doeltreffend en ze werkt met mensen samen die een goede kwaliteit leveren. Ze luistert goed en reageert snel. Het is heel fijn om met haar samen te werken. In Abcoude was ze nog niet zo thuis maar vanaf nu wel. Ik kan haar zeker aanbevelen! ,9.8,3 November 2020
& Bijleveld makelaardij b.v.,Sale reviews,Prettig in omgang en zeer correct in het op de hoogte houden van de voortgang.Zou bij een volgende keer zeker weer aankloppen bij &Bijleveld,9.8,2 November 2020
123 makelaar o.z.,Sale reviews,Het contact met de makelaar verliep prima. Ik kon altijd bellen/ mailen en kreeg steeds snel een reactie. ,9.3,25 November 2020
123 makelaar o.z.,Sale reviews,"Zowel het plan van aanpak, de uitvoering en de nazorg is van een erg hoog nivo. Enerzijds meedenken en anderzijds cordaat handelen. Een brede kennis van de markt & locatie zowel specifiek en algemeen. Met focus op optimalisering korte termijn opbrengst, maar niet de lange termijn (mogelijkheden) uit het oog verliezend. ",10.3,15 May 2020
123 makelaar o.z.,Sale reviews,Perfect geholpen door Kaylee en huybert zeer correct en vriendelijk geholpen door de makelaar en Kaylee van 123 makelaar s,10.3,25 November 2019
123 makelaar o.z.,Sale reviews,"Wij konden onze makelaar Huybert altijd bellen, was nooit een probleem. Als we iets niet begrepen nam hij de tijd te luisteren en advies te geven. Heel fijn! Ook zijn secretaresse, Kaylee heeft ons telkens bij gestaan. Als ik vragen had of in paniek was gaf zij steunende adviezen. Echt lief. Bedankt! Lieve groet, Ben en Thea Sterk",10.3,25 November 2019
123 makelaar o.z.,Sale reviews,"Professioneel en deskundig advies, vriendelijk en betrokken. Geeft waardevolle ondersteuning tijdens hele verkoop traject en veel goede tips voor gerelateerde zaken",9.3,18 November 2019
2M Makelaars,Buy reviews,Ik zou deze makelaar aanbevelen.het is mijn eerste huis wat ik gekocht heb dus ik had er nog geen ervaring mee. met alles goed ondersteund en als ik vragen had werden die goed en vakkundig beantwoord. super geholpen met de bezichtigingen en het contact opnemen met verkopende makelaars. En ze zijn betaalbaar. Zeker een aanrader als je een goede aabkoopmakelaar zoekt!,10.0,29 May 2020
2M Makelaars,Buy reviews,Zeer tevreden over de sympathieke en menselijke benadering. Kleinschalig bedrijf met directe contacten. Heb voor dit kantoor gekozen vanwege positieve ervaring bij een eerdere door ons alsnog gecancelde aankoop.,10.0,6 January 2020
2M Makelaars,Buy reviews,"Lianne was echt geweldig. Heel erg goed geholpen, geduldig en stond altijd voor ons klaar. Een eerste huis kopen is niet niks en er komt zo enorm veel op je af, maar alles werd goed geregeld! Wij raden jullie aan iedereen aan en als het ooit nodig is komen we zeker weer terug bij jullie. ",10.0,20 December 2017
2M Makelaars,Buy reviews,"2M Makelaars, en in ons geval Bianca van den Berg, heeft ons prima geholpen bij de aankoop van ons huis. Een zeer deskundige, kordate dame met oog voor detail. Afspraken werden direct nagekomen en acties meteen doorgezet. Wat mij betreft een supermakelaar. ",10.0,16 December 2015
2M makelaars,Buy reviews,"Soepel en snel, al denk je altijd dat je teveel hebt betaald. We zijn toch tevreden - totzover, want de overdracht moet nog plaatsvinden ",8.0,13 February 2020
2M makelaars,Buy reviews,"Heel blij dat we een aankoopmakelaar hadden via 2M. Deskundige makelaars, waarmee snel te schakelen is. ",9.0,15 November 2019
2M makelaars,Buy reviews,"op zeer korte termijn een afspraak kunnen maken voor een bezichtiging en daarna ook goede communicatie, afspraken en afhandeliing",9.0,21 November 2017
2M makelaars,Buy reviews,Prettig contact. Duidelijke uitleg op vragen. Goede terug koppeling over onderhandelingen en begrijpelijk advies. ,10.0,19 November 2017
2M makelaars,Buy reviews,Prettige mensen en snelle reacties.Resultaat verbluffend goed.Waren heel erg blij met vakkundigheid en souplesse van dit kantoor.,10.0,13 April 2017
A New Home Makelaardij,Sale reviews,Wij zijn zeer tevreden over de kundigheid van A New Home makelaar.Een dikke pluim voor jullie. Bedankt voor alles.,10.0,1 December 2020
A New Home Makelaardij,Sale reviews, Goede samen werking en begeleiding. en vooral heel goede deskundigheid. ,10.0,11 November 2020
A New Home Makelaardij,Sale reviews,"Top Makelaar! Is zeer deskundig, heeft ook een menselijk inzicht en is ontzettend behulpzaam en vriendelijk. Ze is duidelijk, neemt de tijd om alles correct uit te leggen. Is duidelijk in de prijs. Foto's die gemaakt zijn door zeer deskundige mensen, een ontzettend leuke ervaring. Snelle reacties op mail of telefoon. Zeer vriendelijk personeel met een human touch! A new home doet de naam eer aan. Een echte aanrader, niet alleen omdat ons huis zo snel verkocht is. ",10.0,9 October 2020
A New Home Makelaardij,Sale reviews,Heel goed! Een begripvolle benadering met persoonlijke aandacht. regels goed toegepast!Een snel resultaat! ,8.0,27 August 2020
2M Makelaars,Sale reviews,"Professioneel, eerlijk en snel. Snel geplaatst, snel verkocht, goed contact en transparant. Top geregeld!",9.0,8 December 2020
A New Home Makelaardij,Sale reviews,Wij hebben in 2 jaar tijd 2 huizen via A new Home verkocht en een woning gekocht. Wij zijn enorm tevreden met de begeleiding bij de verkoop. ,10.0,16 July 2020
2M Makelaars,Sale reviews,Heel vriendelijke makelaarKan snel handelen en schakelenHeeft verstand van de huizenmarktKomt zijn afspraken na,8.0,19 November 2020
2M Makelaars,Sale reviews,"Er was altijd snelle reactie als ik vragen had of belde.Zeer snel verkocht en goed op de hoogte gehouden over alles.Ook goed advies gekregen over hoe de verkoop aan te pakken, de brochure was heel mooi met mooie foto's.",9.0,19 July 2020
3D Makelaars B.V.,Buy reviews,"Een fijn makelaarskantoor met goede persoonlijke begeleiding. Ze hebben ons begeleid bij de aankoop en verkoop. Heldere en snelle communicatie, vanuit de makelaarsen de backoffice. Fijn geadviseerd, waarbij er uitgegaan werd van onze persoonlijke situatie. ",9.5,19 November 2020
3D Makelaars B.V.,Buy reviews,Een super makelaar. Alles was netjes geregeld van A tot z. En ze hielpen mij waar nodig. Zeker een aanrader!,9.5,1 August 2020
2M Makelaars,Sale reviews,Heel fijn contact gehad met deze makelaar. Hebben ons goed geholpen en binnen korte tijd ons huis verkocht! Ook na het geaccepteerde bod alles gaandeweg uitlegt en ons goed op de hoogte gehouden!,10.0,15 July 2020
2M Makelaars,Sale reviews,"De verkoop van ons huis ging in goede samenwerking met Arjen Vos en zijn team. Vanbegin tot het eind was het team helder en doortastend. Iedere stap werd besproken en uitgevoerd. De communicatie verliep duidelijk, transparant en vlot. Kortom een 'dream-team' en zeer aan te bevelen.",10.0,29 June 2020
3D Makelaars B.V.,Buy reviews,"Onze makelaar is een down-to-earth makelaar, realistisch en helder. Wij zijn blij met de heldere communicatie en dat de makelaar ook veel voor ons heeft geregeld zoals de keuring en afspraken met de verkoopmakelaar. Erg fijn dat deze aankoopmakelaar een vaste prijs hanteert waardoor je weet waar je aan toe bent. De aankoop was snel rond en nu is het alleen wachten op de oplevering! ",8.5,3 December 2018
3D Makelaars B.V.,Buy reviews,Het contact was heel open en duidelijk.Een hele fijne makelaar die je oprecht op alle vlakken wil helpen. ,9.5,8 September 2018
3D Makelaars B.V.,Buy reviews,"Uitstekende makelaarIk ben heel goed geholpen door 3D makelaars, zowel bij de verkoop van mijn oude woning als bij de aankoop van mijn nieuwe woning. Alle zorgen werden mij uit handen genomen en uitgevoerd door 3D Makelaars. ",8.5,3 August 2018
2M makelaars,Sale reviews,Tiemen is een super fijne en vriendelijke makelaar. Ook de fotograaf was heel fijn en kundig. Ik zou ze zeker aanbevelen!Iedereen van 2M ontzettend bedankt! ,9.5,7 December 2020
2M makelaars,Sale reviews,Ben zeer tevreden over de begeleiding van de verkoop van onze woning.Daarnaast was de makelaar zeer deskundig en accuraat. Alles bij elkaarzouden wij 2M makelaar aan een iederaanbevelen. ,9.5,3 December 2020
2M makelaars,Sale reviews,"Mensen met verstand van zaken. Schakelen snel en op zeer professionele wijze stond ons huis snel in de verkoop. Een fotograaf die weet hoe hij een huis moet verkopen door middel van zijn foto’s. Ik ben niet van plan snel weer een woning te verkopen, maar als dit gaat gebeuren dan zeker weer met 2M. ",8.5,1 December 2020
2M makelaars,Sale reviews,Vriendelijke en deskundige begeleiding. Alles gaat in onderling overleg. Goed bereikbaar en bij vragen kreeg ik snel antwoord.,8.5,24 November 2020
& Bijleveld makelaardij b.v.,Buy reviews,goede persoonlijke begeleiding in zoektocht. na iedere bezichtiging werd mij daardoor duidelijker waaraan de woning wel en niet diende te voldoen en wat ik kon verwachten. goed bereikbaar. zeer professioneel in onderhandelingen en begeleiding koopovereenkomst en levering. ,8.0,28 May 2019
2M makelaars,Sale reviews,"Professionele, kundige en vlotte afhandeling. Ik zou 2M Makelaars zeker aanbevelen bij familie, vrienden en bekenden! Bedankt voor jullie geboden goede service, wij waarderen dit zeer.",9.5,24 October 2020
& Bijleveld makelaardij b.v.,Buy reviews,Susan Okkerman van &Bijleveld makelaars heeft ons geweldig geholpen met het snel vinden van een nieuw huis. ,9.0,8 August 2018
& Bijleveld makelaardij b.v.,Buy reviews,"Hele fijne samenwerking, met snel een perfect eindresultaat: de aanschaf van een prachtwoning in Amsterdam!",9.0,31 July 2018
& Bijleveld makelaardij b.v.,Buy reviews,De makelaar heeft ons echt goed geholpen en werk uit handen genomen. Zeer veel kennis en goed advies!,9.0,20 June 2018
& Bijleveld makelaardij b.v.,Buy reviews,In de Amsterdamse huizenmarkt gaat het uiteindelijk maar om 1 ding: getting the deal.Dat is waar Bijleveld Makelaardij goed in is. Door de professionele uitstraling en het goede netwerk en commited medewerkers is de kans op een deal groot.,7.0,26 April 2018
& Bijleveld makelaardij b.v.,Sale reviews,"Wat zijn wij ongelofelijk tevreden met wat Angelique en haar meiden voor ons heeft betekend. Ons huis met een zeer mooie prijs verkocht en tegelijk ons droomhuis aangekocht. Wij zouden & Bijleveld echt iedereen aanraden, zeker in deze gekke huizenmarkt in Amsterdam.",10.0,2 November 2020
& Bijleveld makelaardij b.v.,Sale reviews,"Alles verliep op rolletjes. Angelique is een warme vrouw met humor en durf. Ze brengt heel veel ervaring mee. Ze voelde heel goed aan op wat voor manier we het traject prettig vonden, legde een eerlijk advies op tafel en gaf sturing waar nodig. Dat vonden wij heel erg fijn. Ze heeft in alle fases de juiste keuze gemaakt. Het contact met het kantoor verliep prima. Iedereen was van alles op de hoogte en we hoefden nooit iets uit te leggen. Binnenkort tekenen we de definitieve koopacte. Kortom; alle lof.",9.0,27 October 2020
& Bijleveld makelaardij b.v.,Sale reviews,"Ik raadde &Bijleveld altijd al aan, aan iedereen die een integere, fijne en vooral ook productieve samenwerking zoekt met haar makelaar. Het is niet de eerste keer dat ik met Angelique en haar team werk, en het zal zeker ook niet de laatste keer zijn. Bij Angelique ben je ervan verzekerd dat je echt goed advies krijgt, advies wat je verder brengt en uiteindelijk ook wat je echt iets oplevert. Dank Angelique, Alice en Roba! ",10.0,25 August 2020
& Bijleveld makelaardij b.v.,Sale reviews,"Prima verlopen, klein team, prettig persoonlijk contact en begeleiding. Door corona minder fysieke bezichtigingen, maar goed opgelost door online bezichtigingen.",7.0,4 August 2020
& Bijleveld makelaardij b.v.,Sale reviews,"Angelique heeft ons op uitstekende wijze begeleid: Waardevolle tips, zeer deskundig, veel werk uit handen genomen en bovendien uiterst plezierig samenwerkend met ons. Ze was gedurende het hele proces steeds goed bereikbaar en - als het weer even spannend werd - ook in de avond en in de weekenden. Ook de ondersteuning vanuit de andere dames van het kantoor was professioneel en prettig. Een sterk team!",9.0,18 July 2020
123 makelaar o.z.,Buy reviews,"ik heb hele leuke ervaringen met mijn makelaar gehad, hij had kennis van de gang van zaken en wist waar hij het over had.Bij een reactie van zijn kant hoefde ik nooit lang te wachten was altijd duidelijk en regelde de dingen snel die geregeld moesten worden, hij mailde ook altijd terug als hij iets van mij moest ontvangen dat het binnen was (ook zeer prettig) Ik vind het erg jammer dat het voorbij is nu de koop gesloten is. Ik zou hem zeer beslist bij mijn vriendenkring aanbevelen.",10.0,21 February 2017
123 makelaar o.z.,Buy reviews,"Het personeel bij 123makelaar is vriendelijk en handelt snel (plannen van bezichtigingen, persoonlijke en professionele benadering en kan bij wijzigingen snel schakelen).In mijn zoektocht ben ik bijgestaan door Huybert Teunissen:- Bouwtechnische kennis, sterke communicatie, weet zaken goed uit te leggen voor 'de leek', is betrouwbaar in afspraken en zeer goed bereikbaar.Huybert brengt je woonwensen volledig in kaart en weet hier goed op in te spelen. Hij heeft mij er, in deze huidige woningmarkt, voor behoed om mee te gaan in de gekte van het overbieden. Hiermee heeft hij mijn belang als koper voorop gesteld. Heeft goed oog voor wat een pand waard is en is hierover eerlijk en direct. Wil je een makelaar met verstand en humor, dan ben je bij 123makelaar aan het juiste adres!",10.0,12 February 2016
123 makelaar o.z.,Buy reviews,"Voor de aankoop van een woning heb ik erg prettig samengewerkt met Huybert. Hij is goed bereikbaar, denkt mee, had snel door wat ik zocht, blijft kritisch en geeft daardoor goed advies. ",9.0,8 January 2016
123 makelaar o.z.,Buy reviews,Huybert Teunissen heeft mij heel goed geholpen met de aankoop van een appartement in Amsterdam in een volkomen overspannen markt. Zelf werd ik er op den duur een beetje moedeloos van maar Huybert bleef optimistisch en gelukkig ook kritisch zodat ik nu alsnog een appartement heb waar ik ontzettend blij mee ben. ,8.0,3 September 2015
123 makelaar o.z.,Buy reviews,"123Makelaar is een professionele makelaar die deskundig te werk gaat. Met veel kennis over de markt en leuke mensen, kan ik iedereen 123Makelaar aanbevelen.",10.0,30 July 2015
11 Makelaars Amsterdam,Sale reviews,"11 Makelaars zijn zeer deskundig, snel en efficiënt. Gaan voor het maximaal haalbare resultaat. Absolute aanrader!",10.0,14 August 2018
11 Makelaars Amsterdam,Sale reviews,"Vlot geholpen, heel prettig contact, geen snoeverij maar toepasselijke daden. Laat keuzes bij de klant, maar adviseert wel goed.Was ook een stuk goedkoper dan een tweede makelaar waar ik een gesprek mee gehad heb.",10.0,15 March 2018
11 Makelaars Amsterdam,Sale reviews,"Makkelijk contact, goeie verkooptekst en advies bij alle zaken die komen kijken bij het verkopen (en ook kopen) van een huis.",8.0,13 February 2018
11 Makelaars Amsterdam,Sale reviews,Agent was open to discussion and suggestions. The important thing is apartment sold reasonably quickly,7.0,15 November 2017
2Veld Makelaars,Sale reviews,"attent, vriendelijk en behulpzaam met welke vraag dan ook over de verkoop van mijn huis. Ik zou ander mensen deze makelaar aanbevelen.",9.0,19 July 2020
2Veld Makelaars,Sale reviews,Na het eerste gesprek wisten we zeker dat we deze makelaar ons volledige vertrouwen konden geven. De begeleiding tijdens het verkooptraject was uitstekend. Niets dan lof voor 2Veld Makelaars!,10.0,21 June 2020
2Veld Makelaars,Sale reviews,"2Veld is zeer ervaren, en straalt dat ook uit. De persoonlijke benadering en deskundigheid zijn geruststellend tijdens het spannende proces van de verkoop van een huis. ",9.0,8 April 2020
2Veld Makelaars,Sale reviews,"Deze makelaar weet goed wat er in de buurt waar mijn huis in de verkoopkwam gebeurd. Goede service en werd tijdig geïnformeerd en op de hoogte gehouden. Voor assistent Marka , een topper! Een deskundige makelaar zeker aan te bevelen. ",10.0,8 November 2019
2Veld Makelaars,Sale reviews,"Ons contact met de makelaar verliep vanaf het begin al heel prettig.Is kundig , doelgericht en realistisch. Woning snel verkocht.",8.0,17 October 2019
123 makelaar o.z.,Sale reviews,"Super contact. Huybert is een toppertje!!123 Makelaars is een degelijk en ervaren bedrijf met goede kennis van de Amsterdamse woningmarkt, voor zover ik het kan beoordelen.",9.0,21 August 2019
123 makelaar o.z.,Sale reviews,"Mijn huis via Huybert van 123 makelaar verkocht. Communicatie verliep super, met vragen kon ik direct terrecht via mail, telefoon of whatsapp. De samenwerking verliep professioneel en was laagdrempelig alles werd door Huybert op een begrijpelijke manier uitgelegd. Ik zou Huybert van 123 makelaar zeker aanraden. ",10.0,12 August 2019
123 makelaar o.z.,Sale reviews,"Prima contact, verkoop in record tempo vakkundig en uitermate vriendelijk verzorgd. Aardige mensen. ",10.0,31 August 2018
123 makelaar o.z.,Sale reviews,Persoonlijke aandacht is waardevol en dat kregen wij bij deze makelaar (Huybert).Het verloop verliep zeer goed en snelDus wij kunnen deze makelaar zeker aanbevelen.,8.0,28 July 2018
123 makelaar o.z.,Sale reviews,Het meedenken over hoe het minimumbedrag kon worden gehaald was zeer waardevol. Antwoord op vragen was vlot. Gewoon erg tevreden.,8.0,13 February 2018
Ab Gaasbeek Makelaardij,Sale reviews,"Eerste contact is gemaakt voor een taxatie van de woning , goede inschatting, is voor ons de reden geweest om deze makelaar de opdracht te geven om deze woning in de verkoop te zetten. Door zijn professionele aanpak was er direct veel belangstelling en een serieus bod. Lekker vlot verlopen.",9.3,5 December 2020
Ab Gaasbeek Makelaardij,Sale reviews,"Zeer kundige makelaar, we werden goed op de hoogte gehouden gedurende de verkoop periode, makelaar was ook goed bereikbaar ook buiten kantoortijden, verkoop verliep uiteindelijk heel vlot en soepel.",10.3,13 November 2020
Ab Gaasbeek Makelaardij,Sale reviews,Heb geen minpunt gevonden. Ab en zijn medewerkster geven een heel goede service en bellen wanneer het nodig is. Ook al is het buiten kantooruren.Gewoon een goede keuze.,9.3,22 October 2020
Ab Gaasbeek Makelaardij,Sale reviews,"Alles verliep erg goed. Waar nodig steeds contact. We hebben niets gemist. Goede adviezen ontvangen, die prima uitpakten. Deskundige makelaar!",9.3,26 September 2020
Ab Gaasbeek Makelaardij,Sale reviews,Verkoop van het huis is goed en supersnel verlopen. Tevreden over de communicatie met de makelaar. ,8.3,21 September 2020
2Veld Makelaars,Buy reviews,Zeer deskundig en betrouwbaar. Het kost weinig moeite om contact met hem te krijgen.Zelfs op zaterdag is hij te bereiken en is hij bereid om mee te gaan om de woning te bezichtigen. ,10.0,2 March 2017
2M makelaars,Buy reviews,"Tiemen van 2M Makelaars heeft geholpen bij de aankoop van mijn huis. In drie woorden is mijn indruk: betrouwbaar, deskundig en persoonlijk! Het hele proces verliep vlot en gestructureerd. Ik kan 2M Makelaars dan ook van harte aanbevelen! ",10.0,2 January 2016
3D Makelaars B.V.,Sale reviews,3D Makelaars zijn zeer ervaren en behulpzame makelaars. Zij denken mee en adviseren ze waarbij nodig is.,10.0,3 September 2020
3D Makelaars B.V.,Sale reviews,"Ik heb de zaken met 3D als zeer prettig ervaren. Alles rondom de verkoop is soepel, goed en snel verlopen. Dus mocht u op zoek zijn naar een makelaar dan beveel ik u 3D makelaars zeker aan!",9.0,15 June 2020
3D Makelaars B.V.,Sale reviews,"Prettig en positief contact vanaf de eerste minuut. Een makelaar die er vol voor gaat, ook als de situatie tussentijds wijzigd.",8.0,11 June 2020
3D Makelaars B.V.,Sale reviews,"Top makelaar , kan er kort in zijn100 karakters is hierdoor veel te veel om in te vullen , maar anders is het niet te versturen op deze site",10.0,30 April 2020
3D Makelaars B.V.,Sale reviews,3D makelaars is een fijn en betrokken makelaarskantoor. Die met veel enthousiasme ons huis hebben verkocht. Het contact was erg prettig dit kwam door het snel en vakkundig schakelen.,10.0,22 April 2020
A New Home Makelaardij,Sale reviews,"Perfecte deskundigheid, komt alle gemaakte afspraken na, zeer korte lijnen, zeer goede prijs / kwaliteit verhouding. Heel fijne persoonlijkheid, met een professionele uitstraling. Heeft een perfect werkend team om haar heen gecreëerd dat werkt als een geoliede machine . We hebben op een zeer prettige manier zaken met haar kunnen doen, waarvoor onze dank 🙏 ",10.0,15 July 2020
A New Home Makelaardij,Sale reviews,Nathaly is een professionele makelaar met een gedegen kennis van de regio. We hebben hierdoor het gevoel dat we met haar ondersteuning het best bereikbare resultaat hebben gekregen bij de verkoop van ons pand.,9.0,16 June 2020
A New Home Makelaardij,Sale reviews,Het zijn toppers. Begeleiding was super heel vriendelijk en het gaf vertrouwen. Dus raad ik iedereen deze makelaar aan.,10.0,9 June 2020
ABO Makelaars Peter de Vries,Buy reviews,Wij zochten een expert in ons zoekgebied en hebben die met Abo Makelaarsgevonden. Peter kent de markt erg goed en dat is zeer waardevol gebleken. Bovendien was het prettig en leuk met hem te werken. Ook belangrijk wanneer je zoiets emotioneels koopt als een huis...,8.0,18 June 2019
ABO Makelaars Peter de Vries,Buy reviews,I am extremely content with Peter de Vries from ABO Makelaars. He was very helpful supportive and I can only recommend him to anyone who wants personal service and dedication.,10.0,19 September 2018
A New Home Makelaardij,Sale reviews,Zeer goede deskundige begeleiding.Medewerkers zijn allemaal even vriendelijk. Ons huis was binnen 4 dagen verkocht! Kortom een super makelaar.,9.0,27 April 2020
A New Home Makelaardij,Sale reviews,Het contact was uitstekend! aardig en raadzaam!!Nathalie's advies was van meet af aan GOED. Wij hadden een hogere prijs voor ons huis! Wij volgden echter haar advies en dat was achteraf perfect!,9.0,20 April 2020
& Bijleveld makelaardij b.v.,Sale reviews,Uitstekende begeleiding van de makelaar van begin tot eind met een zeer goed resultaat! Ik kan Angelique Bijleveld en haar hele team van harte aanbevelen!,10.0,3 July 2020
& Bijleveld makelaardij b.v.,Sale reviews,Alice van &Bijleveld Makelaardij heeft met haar marktkennis mijn woningop de juiste wijze in de markt gezet en door het goede service en begeleiding is het verkoopproces soepel en fijn verlopen. Met als resultaat een gelukkige verkoper.Zeker een aanrader dit makelaarskantoor.,10.0,23 June 2020
& Bijleveld makelaardij b.v.,Sale reviews,Alice heeft ons super goed bijgestaan bij de verkoop van ons huis! De communicatie was altijd prettig en wij werden efficiënt op de hoogte gehouden van alle ontwikkelingen tijdens het gehele verkoop proces. Het resultaat heeft daarnaast onze verwachtingen meer dan overtroffen. Ik zou dit kantoor iedereen aanraden. ,9.0,15 May 2020
